"compound","unique_id","plant","type","new_cat","genus","family","order","location","region","new_class","new_sub_class","sum_area","perc_area","prop_area","smiles","inchikeys","abundance","sum_abund","rel_abund"
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 250-New","Stachys byzantina","Flower","Ornamentals","Stachys","Lamiaceae","Lamiales","New plymouth","Lower north island","Fatty acid derivatives","Hydrocarbons",3375,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3375,21906,0.154067378800329
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 256-New","Rosa sp","Flower","Ornamentals","Rosa","Rosaceae","Rosales","New plymouth","Lower north island","Fatty acid derivatives","Hydrocarbons",4137,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",4137,35717,0.115827197133018
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 257-New","Rosa sp","Flower","Ornamentals","Rosa","Rosaceae","Rosales","New plymouth","Lower north island","Fatty acid derivatives","Hydrocarbons",3281,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3281,42598,0.0770223954176252
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 281-New","Jacobaea maritima","Flower","Ornamentals","Jacobaea","Asteraceae","Asterales","New plymouth","Lower north island","Fatty acid derivatives","Hydrocarbons",890,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",890,21585,0.0412323372712532
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 251-Ham","Stachys byzantina","Flower","Ornamentals","Stachys","Lamiaceae","Lamiales","Hamilton","Central north island","Fatty acid derivatives","Hydrocarbons",3756,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3756,18882,0.198919605973943
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 251-New","Stachys byzantina","Flower","Ornamentals","Stachys","Lamiaceae","Lamiales","New plymouth","Lower north island","Fatty acid derivatives","Hydrocarbons",3756,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3756,18882,0.198919605973943
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 280-New","Jacobaea maritima","Flower","Ornamentals","Jacobaea","Asteraceae","Asterales","New plymouth","Lower north island","Fatty acid derivatives","Hydrocarbons",953,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",953,23429,0.0406760851935635
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 282-New","Jacobaea maritima","Flower","Ornamentals","Jacobaea","Asteraceae","Asterales","New plymouth","Lower north island","Fatty acid derivatives","Hydrocarbons",2191,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",2191,23863,0.0918157817541801
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 249-Ham","Stachys byzantina","Flower","Ornamentals","Stachys","Lamiaceae","Lamiales","Hamilton","Central north island","Fatty acid derivatives","Hydrocarbons",4046,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",4046,18699,0.216375207230333
"(E)-4,8-dimethyl-1,3,7-nonatriene","Vc 249-New","Stachys byzantina","Flower","Ornamentals","Stachys","Lamiaceae","Lamiales","New plymouth","Lower north island","Fatty acid derivatives","Hydrocarbons",4046,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",4046,18699,0.216375207230333
