"compound","unique_id","plant","type","new_cat","genus","family","order","location","region","new_class","new_sub_class","sum_area","perc_area","prop_area","smiles","inchikeys","abundance","sum_abund","rel_abund"
"(E)-2-hexen-1-ol 1","Vc 138-Dun","Actaea racemosa","Flower","Ornamentals","Actaea","Ranunculaceae","Ranunculales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty alcohols",2635,NA,NA,"Ccc/c=c/co","Zchhrlhtbgrgot-snawjcmrsa-n",2635,12176,0.216409329829172
"(E)-3-hexen-1-ol","Vc 192-Chr","Echinops sphaerocephalus","Flower","Ornamentals","Echinops","Asteraceae","Asterales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",4073,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",4073,16250,0.250646153846154
"(E)-3-hexen-1-ol","Vc 194-Chr","Echinops sphaerocephalus","Flower","Ornamentals","Echinops","Asteraceae","Asterales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",2339,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",2339,14364,0.162837649679755
"(E)-3-hexen-1-ol","Vc 42-Can","Trifolium repens","Flower","Ornamentals","Trifolium","Fabaceae","Fabales","Canterbury","Upper south island","Fatty acid derivatives","Fatty alcohols",2557,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",2557,11791,0.216860317191078
"(E)-3-hexen-1-ol","Vc 43-Can","Trifolium repens","Flower","Ornamentals","Trifolium","Fabaceae","Fabales","Canterbury","Upper south island","Fatty acid derivatives","Fatty alcohols",3343,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",3343,12494,0.267568432847767
"(E)-3-hexen-1-ol","Vc53-Chr","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",4247,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",4247,29284,0.14502800163912
"(E)-3-hexen-1-ol","Vc53-Ham","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Hamilton","Central north island","Fatty acid derivatives","Fatty alcohols",4247,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",4247,29284,0.14502800163912
"(E)-3-hexen-1-ol","Vc54-Chr","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",254,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",254,29748,0.00853838913540406
"(E)-3-hexen-1-ol","Vc54-Ham","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Hamilton","Central north island","Fatty acid derivatives","Fatty alcohols",254,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",254,29748,0.00853838913540406
"(E)-3-hexen-1-ol","Vc55-Chr","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",198,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",198,29618,0.00668512391113512
"(E)-3-hexen-1-ol","Vc55-Ham","Verbascum chaixii","Flower","Ornamentals","Verbascum","Scrophulariaceae","Lamiales","Hamilton","Central north island","Fatty acid derivatives","Fatty alcohols",198,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",198,29618,0.00668512391113512
"(E)-3-hexen-1-ol","Vc69-Chr","Scrophularia auriculata","Flower","Ornamentals","Scrophularia","Scrophulariaceae","Lamiales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",1859,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",1859,16521,0.112523454996671
"(E)-3-hexen-1-ol","Vc70-Chr","Scrophularia auriculata","Flower","Ornamentals","Scrophularia","Scrophulariaceae","Lamiales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",164,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",164,5281,0.0310547244839992
"(E)-3-hexen-1-ol","Vc71-Chr","Scrophularia auriculata","Flower","Ornamentals","Scrophularia","Scrophulariaceae","Lamiales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",1523,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",1523,5280,0.28844696969697
"(E)-3-hexen-1-ol","Vc93-Chr","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",3510,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",3510,16421,0.21375068509835
"(E)-3-hexen-1-ol","Vc93-Dun","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty alcohols",3510,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",3510,16421,0.21375068509835
"(E)-3-hexen-1-ol","Vc94-Chr","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",2142,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",2142,10202,0.209958831601647
"(E)-3-hexen-1-ol","Vc94-Dun","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty alcohols",2142,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",2142,10202,0.209958831601647
"(E)-3-hexen-1-ol","Vc95-Chr","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",3755,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",3755,8313,0.45170215325394
"(E)-3-hexen-1-ol","Vc95-Dun","Filipendula ulmaria","Flower","Ornamentals","Filipendula","Rosaceae","Rosales","Dunedin botanical gardens","Lower south island","Fatty acid derivatives","Fatty alcohols",3755,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",3755,8313,0.45170215325394
"(E)-3-hexen-1-ol","Vc 193-Chr","Echinops sphaerocephalus","Flower","Ornamentals","Echinops","Asteraceae","Asterales","Christchurch botanical gardens","Upper south island","Fatty acid derivatives","Fatty alcohols",3225,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",3225,16310,0.19773145309626
"(E)-3-hexen-1-ol","Vc 41-Can","Trifolium repens","Flower","Ornamentals","Trifolium","Fabaceae","Fabales","Canterbury","Upper south island","Fatty acid derivatives","Fatty alcohols",2423,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",2423,9335,0.259560792715587
"(E)-3-hexen-1-ol","01 nov s6f-Haw","Malus domestica","Fruit","Crops","Malus","Rosaceae","Rosales","Hawke's bay","Lower north island","Fatty acid derivatives","Fatty alcohols",994,NA,NA,"Cc/c=c/cco","Uflhiiwvxfijgu-onegzznksa-n",994,17972,0.0553082572891164
"(E)-4,8-dimethyl-1,3,7-nonatriene","All avocado pooled-Bay","Persea americana","Fruit","Crops","Persea","Lauraceae","Laurales","Bay of plenty","Central north island","Fatty acid derivatives","Hydrocarbons",601,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",601,69158,0.00869024552474045
"(E)-4,8-dimethyl-1,3,7-nonatriene","Avo hass pooled-Bay","Persea americana","Fruit","Crops","Persea","Lauraceae","Laurales","Bay of plenty","Central north island","Fatty acid derivatives","Hydrocarbons",3786,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",3786,110738,0.0341888060105835
"(E)-4,8-dimethyl-1,3,7-nonatriene","Carrot pooled.d-Can","Daucus carota","Arable","Crops","Daucus","Apiaceae","Apiales","Canterbury","Upper south island","Fatty acid derivatives","Hydrocarbons",1633,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",1633,31576,0.051716493539397
"(E)-4,8-dimethyl-1,3,7-nonatriene","Radish pooled conc.d-Can","Raphanus raphanistrum","Arable","Crops","Raphanus","Brassicaceae","Brassicales","Canterbury","Upper south island","Fatty acid derivatives","Hydrocarbons",2284,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",2284,63204,0.0361369533573824
"(E)-4,8-dimethyl-1,3,7-nonatriene","Kanuka_f1_flore-Aot","Kunzea ericoides","Flower","Natives","Kunzea","Myrtaceae","Myrtales","Aotearoa","Aotearoa","Fatty acid derivatives","Hydrocarbons",1948,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",1948,33888,0.0574834749763928
"(E)-4,8-dimethyl-1,3,7-nonatriene","Lancewood f3-Aot","Pseudopanax crassifolius","Flower","Natives","Pseudopanax","Araliaceae","Apiales","Aotearoa","Aotearoa","Fatty acid derivatives","Hydrocarbons",2150,NA,NA,"Cc(=ccc/c(=c/c=c)/c)c","Lukzrejjlwewqm-yrnvussqsa-n",2150,20003,0.107483877418387
